LPHU,Postcode,Population,SEIFA
WPHU,3427,5654,5
WPHU,3340,25653,5
WPHU,3338,36981,2
WPHU,3337,40718,2
WPHU,3336,21149,
WPHU,3335,6179,6
WPHU,3211,1355,8
WPHU,3207,17637,9
WPHU,3141,25000,9
WPHU,3068,19341,9
WPHU,3060,14307,1
WPHU,3058,34870,6
WPHU,3057,13242,9
WPHU,3056,24908,8
WPHU,3055,14755,7
WPHU,3054,8211,10
WPHU,3053,16013,1
WPHU,3052,7312,8
WPHU,3051,14958,3
WPHU,3046,36752,3
WPHU,3044,28719,7
WPHU,3043,17942,4
WPHU,3042,16778,7
WPHU,3041,13065,10
WPHU,3040,26744,9
WPHU,3039,16231,9
WPHU,3038,26685,6
WPHU,3037,51384,5
WPHU,3036,5977,9
WPHU,3034,12328,5
WPHU,3033,15118,7
WPHU,3032,29904,7
WPHU,3031,17817,3
WPHU,3030,119210,6
WPHU,3029,129897,5
WPHU,3028,28179,3
WPHU,3027,9452,9
WPHU,3026,8817,1
WPHU,3025,13002,2
WPHU,3024,34019,4
WPHU,3023,67150,4
WPHU,3022,3138,1
WPHU,3021,55064,1
WPHU,3020,44376,1
WPHU,3019,9677,1
WPHU,3018,13567,7
WPHU,3016,16024,9
WPHU,3015,18653,9
WPHU,3013,15604,9
WPHU,3012,27049,4
WPHU,3011,22308,4
WPHU,3008,15501,8
WPHU,3006,22671,9
WPHU,3004,11476,10
WPHU,3003,8070,8
WPHU,3002,4885,10
WPHU,3000,43053,3
SEPHU,3987,1648,5
SEPHU,3984,7402,2
SEPHU,3981,5450,5
SEPHU,3980,3608,6
SEPHU,3978,43198,8
SEPHU,3977,117117,5
SEPHU,3976,26051,1
SEPHU,3975,18028,7
SEPHU,3944,794,10
SEPHU,3943,2006,8
SEPHU,3942,2773,8
SEPHU,3941,13554,4
SEPHU,3940,5276,1
SEPHU,3939,15896,3
SEPHU,3938,3340,7
SEPHU,3937,1723,9
SEPHU,3936,13360,6
SEPHU,3934,19843,10
SEPHU,3933,958,10
SEPHU,3931,25751,6
SEPHU,3930,18716,10
SEPHU,3929,1137,10
SEPHU,3928,421,10
SEPHU,3927,1814,9
SEPHU,3926,3419,9
SEPHU,3920,1102,10
SEPHU,3919,3332,3
SEPHU,3918,4287,7
SEPHU,3916,1028,10
SEPHU,3915,10732,1
SEPHU,3913,3454,8
SEPHU,3912,15603,7
SEPHU,3911,3479,7
SEPHU,3910,23575,8
SEPHU,3816,3202,3
SEPHU,3815,3716,7
SEPHU,3814,2597,7
SEPHU,3813,954,7
SEPHU,3812,2476,8
SEPHU,3810,55583,4
SEPHU,3809,19685,9
SEPHU,3808,3173,10
SEPHU,3807,7637,9
SEPHU,3806,51295,8
SEPHU,3805,58552,5
SEPHU,3804,8475,9
SEPHU,3803,11335,2
SEPHU,3802,24486,5
SEPHU,3783,2537,8
SEPHU,3782,7983,9
SEPHU,3781,4672,7
SEPHU,3207,17637,9
SEPHU,3206,10035,10
SEPHU,3205,11549,6
SEPHU,3204,33130,9
SEPHU,3202,2827,8
SEPHU,3201,21975,4
SEPHU,3200,5712,1
SEPHU,3199,56099,5
SEPHU,3198,17224,4
SEPHU,3197,12015,8
SEPHU,3196,26866,7
SEPHU,3195,37350,9
SEPHU,3194,13228,9
SEPHU,3193,20195,10
SEPHU,3192,24092,8
SEPHU,3191,10898,10
SEPHU,3190,12064,8
SEPHU,3189,6308,7
SEPHU,3188,18585,9
SEPHU,3187,16742,10
SEPHU,3186,23289,10
SEPHU,3185,13452,10
SEPHU,3184,15154,10
SEPHU,3183,17927,9
SEPHU,3182,22434,9
SEPHU,3181,19618,9
SEPHU,3177,11821,1
SEPHU,3175,53521,1
SEPHU,3174,39728,1
SEPHU,3173,30043,4
