MB_CODE_2021,MB_CATEGORY_NAME_2021,AREA_ALBERS_SQKM,Dwelling,Person,State
20000010000,Education,0.0127,0,0,2
20000021000,Commercial,0.0127,6,3,2
20000022000,Commercial,0.0105,6,13,2
20000023000,Commercial,0.0105,3,5,2
20000031000,Commercial,0.0117,0,0,2
20000032000,Commercial,0.008,0,0,2
20000033000,Commercial,0.0155,0,0,2
20000040000,Residential,0.0929,53,58,2
20000050000,Residential,0.0443,18,18,2
20000061000,Residential,0.7563,14,25,2
20000062000,Residential,0.1488,33,58,2
20000070000,Residential,0.1276,58,135,2
20000090000,Residential,0.03,29,44,2
20000110000,Residential,0.3208,44,63,2
20000120000,Residential,0.0766,19,35,2
20000130000,Residential,0.0748,33,55,2
20000140000,Residential,0.0362,26,45,2
20000150000,Residential,0.0429,41,38,2
20000160000,Parkland,0.1148,6,3,2
20000171000,Parkland,0.2383,0,0,2
20000172000,Parkland,0.1784,0,0,2
20000180000,Residential,0.0402,43,62,2
20000190000,Residential,0.0432,55,76,2
20000211000,Residential,0.0283,25,37,2
20000212000,Commercial,0.0132,5,0,2
20000220000,Residential,0.0309,28,39,2
20000250000,Residential,0.0661,43,52,2
20000260000,Residential,0.0485,40,47,2
20000270000,Residential,0.0437,38,60,2
20000280000,Residential,0.0419,51,89,2
20000290000,Residential,0.0485,20,29,2
20000300000,Parkland,22.4415,0,0,2
20000310000,Residential,0.3495,62,146,2
20000320000,Residential,0.9586,45,125,2
20000330000,Residential,0.0406,52,49,2
20000340000,Residential,0.0334,41,74,2
20000350000,Education,0.0097,0,0,2
20000360000,Residential,0.7829,56,74,2
20000370000,Water,2.4937,0,0,2
20000380000,Residential,0.051,55,71,2
20000391000,Residential,1.0086,55,100,2
20000392000,Residential,0.0405,7,19,2
20000401000,Primary Production,11.2693,21,29,2
20000402000,Primary Production,6.5412,21,33,2
20000410000,Primary Production,22.2328,44,102,2
20000420000,Residential,0.4228,66,122,2
20000431000,Primary Production,17.6683,22,59,2
20000432000,Primary Production,13.6564,25,61,2
20000433000,Primary Production,6.8734,5,16,2
20000441000,Primary Production,23.0501,34,76,2
20000442000,Primary Production,13.5254,12,40,2
20000443000,Primary Production,6.0818,9,13,2
20000451000,Parkland,39.5507,0,0,2
20000452000,Parkland,26.26,0,0,2
20000453000,Other,7.2291,40,56,2
20000460000,Parkland,108.8075,4,20,2
20000470000,Parkland,149.7822,0,0,2
20000480000,Primary Production,6.1845,65,119,2
20000490000,Parkland,27.9989,0,0,2
20000500000,Parkland,169.2555,0,0,2
20000510000,Parkland,181.4404,0,0,2
20000520000,Parkland,177.1601,0,0,2
20000530000,Parkland,162.7906,0,0,2
20000540000,Parkland,78.7318,0,0,2
20000550000,Parkland,270.0097,0,0,2
20000560000,Parkland,87.7777,0,0,2
20000570000,Parkland,12.7735,6,4,2
20000580000,Parkland,34.4144,0,0,2
20000590000,Parkland,53.3874,4,0,2
20000600000,Parkland,107.7391,0,5,2
20000611000,Parkland,80.5669,0,0,2
20000612000,Parkland,3.2887,0,0,2
20000620000,Parkland,27.9073,0,0,2
20000630000,Primary Production,99.854,9,18,2
20000640000,Parkland,0.363,0,0,2
20000651000,Primary Production,24.8739,36,101,2
20000652000,Primary Production,8.2981,11,35,2
20000660000,Residential,0.2995,60,111,2
20000670000,Residential,0.0868,50,65,2
20000681000,Industrial,0.1961,0,5,2
20000682000,Primary Production,3.8874,12,28,2
20000683000,Primary Production,1.995,15,27,2
20000684000,Industrial,0.5965,0,0,2
20000685000,Industrial,0.0357,0,3,2
20000687000,Education,0.0626,0,0,2
20000690000,Primary Production,12.2279,37,71,2
20000700000,Parkland,3.1747,0,0,2
20000711000,Primary Production,38.4067,44,74,2
20000712000,Primary Production,15.1731,18,36,2
20000720000,Primary Production,11.7583,43,88,2
20000730000,Primary Production,4.6904,53,90,2
20000740000,Primary Production,1.1253,32,43,2
20000750000,Primary Production,17.7337,71,142,2
20000760000,Parkland,0.0479,0,0,2
20000781000,Residential,0.0704,39,70,2
20000782000,Primary Production,4.1824,0,0,2
20000783000,Primary Production,5.6981,34,80,2
20000784000,Primary Production,2.076,6,11,2
20000790000,Primary Production,14.7365,59,135,2
20000801000,Residential,0.2178,11,31,2
20000802000,Residential,0.1652,48,121,2
20000820000,Education,0.0335,0,0,2
20000830000,Residential,1.0197,47,73,2
20000840000,Residential,0.8169,76,156,2
20000850000,Residential,0.6522,43,78,2
20000860000,Primary Production,1.1299,29,39,2
20000870000,Residential,0.0623,19,19,2
20000880000,Residential,0.3163,37,74,2
20000890000,Parkland,0.1627,0,0,2
20000900000,Residential,0.2196,43,62,2
20000910000,Residential,0.0356,26,29,2
20000920000,Residential,0.0638,43,62,2
20000930000,Residential,0.0581,19,29,2
20000940000,Residential,0.0788,62,79,2
20000950000,Residential,0.1257,44,71,2
20000960000,Residential,0.0431,39,28,2
20000972000,Residential,0.0268,18,15,2
20000980000,Residential,0.1655,58,115,2
20000990000,Parkland,0.0291,0,0,2
20001000000,Parkland,0.0706,0,0,2
20001010000,Residential,0.0623,22,28,2
20001020000,Residential,0.0969,58,77,2
20001030000,Residential,0.0903,27,37,2
20001040000,Residential,0.2219,62,147,2
20001050000,Residential,0.076,37,66,2
20001060000,Residential,0.0437,24,24,2
20001080000,Residential,0.0566,14,15,2
20001090000,Parkland,0.0643,0,0,2
20001100000,Residential,0.3133,68,87,2
20001110000,Residential,0.0515,34,34,2
20001120000,Parkland,0.2909,0,0,2
20001140000,Residential,0.217,43,95,2
20001160000,Primary Production,15.302,32,51,2
20001181000,Primary Production,13.5309,35,75,2
20001182000,Primary Production,12.9714,24,49,2
20001183000,Primary Production,2.2718,8,11,2
20001190000,Primary Production,24.1086,50,104,2
20001200000,Parkland,9.0585,0,0,2
20001210000,Residential,0.0363,21,54,2
20001230000,Residential,0.2355,68,172,2
20001240000,Residential,0.0478,23,32,2
20001250000,Primary Production,23.5152,49,116,2
20001270000,Residential,0.0481,57,60,2
20001281000,Residential,0.1148,42,86,2
20001282000,Residential,0.0472,17,24,2
20001300000,Residential,0.0584,57,98,2
20001311000,Residential,0.598,28,51,2
20001312000,Residential,0.1233,34,34,2
20001320000,Residential,1.0495,36,76,2
20001330000,Residential,0.0801,32,66,2
20001350000,Residential,0.0286,32,56,2
20001360000,Residential,0.0361,24,34,2
20001370000,Residential,0.6106,182,127,2
20001380000,Residential,0.0351,41,71,2
20001390000,Residential,0.0659,61,103,2
20001400000,Education,0.087,0,0,2
20001410000,Residential,0.0368,21,43,2
20001420000,Residential,0.1794,36,47,2
20001430000,Residential,0.1086,24,36,2
20001442000,Commercial,0.0131,4,4,2
20001450000,Residential,0.0502,33,64,2
20001460000,Residential,0.0235,32,46,2
20001470000,Residential,0.0409,35,59,2
20001480000,Residential,0.0229,20,36,2
20001490000,Primary Production,12.9058,58,105,2
20001500000,Other,5.0482,49,107,2
20001510000,Parkland,1.0217,0,0,2
20001521000,Primary Production,10.13,46,94,2
20001522000,Other,1.7644,46,111,2
20001531000,Primary Production,5.7052,7,17,2
20001532000,Primary Production,14.807,46,96,2
20001533000,Primary Production,2.9195,4,9,2
20001534000,Primary Production,2.8139,0,0,2
20001540000,Parkland,5.6409,0,0,2
20001550000,Other,1.1838,0,9,2
20001560000,Residential,0.0387,10,22,2
20001570000,Residential,0.1692,45,63,2
20001580000,Residential,0.0223,16,24,2
20001590000,Residential,0.09,53,82,2
20001600000,Residential,0.0452,34,77,2
20001610000,Residential,0.0909,28,72,2
20001620000,Residential,0.8823,72,196,2
20001631000,Primary Production,20.2809,0,8,2
20001632000,Other,3.513,31,59,2
20001640000,Parkland,11.2891,0,0,2
20001650000,Parkland,2.8601,0,0,2
20001660000,Primary Production,50.2499,50,93,2
20001670000,Primary Production,50.2529,33,78,2
20001680000,Primary Production,14.2764,39,83,2
20001690000,Primary Production,6.8197,36,75,2
20001700000,Other,3.975,54,109,2
20001710000,Residential,0.2443,32,69,2
20001721000,Primary Production,10.4078,46,90,2
20001722000,Primary Production,5.4507,25,51,2
20001731000,Primary Production,1.2604,9,24,2
20001732000,Other,0.1805,12,30,2
20001740000,Primary Production,6.8853,19,48,2
20001751000,Primary Production,7.0471,26,54,2
20001752000,Primary Production,3.6959,11,22,2
20001760000,Residential,0.2737,37,67,2
20001770000,Residential,0.0598,36,65,2
20001780000,Parkland,32.3695,0,3,2
20001790000,Primary Production,64.5947,63,138,2
20001801000,Primary Production,44.5115,39,63,2
20001802000,Primary Production,5.8599,15,36,2
20001811000,Primary Production,21.1351,17,43,2
20001812000,Primary Production,2.5281,21,48,2
20001813000,Primary Production,5.8734,10,18,2
20001820000,Other,1.2837,30,81,2
20001830000,Residential,0.2318,63,142,2
20001840000,Parkland,3.9596,0,0,2
20001851000,Parkland,300.6619,0,4,2
20001852000,Parkland,37.5984,0,0,2
20001860000,Parkland,299.5968,0,8,2
20001870000,Parkland,9.3373,0,0,2
20001880000,Residential,0.0644,28,41,2
20001891000,Commercial,0.0223,3,0,2
20001892000,Commercial,0.0187,7,0,2
20001900000,Residential,0.0615,43,89,2
20001911000,Residential,0.0528,32,66,2
20001912000,Residential,0.0403,7,13,2
20001920000,Residential,0.0537,41,82,2
20001930000,Residential,0.1096,68,156,2
20001941000,Commercial,0.0109,0,5,2
20001942000,Commercial,0.0295,15,29,2
20001943000,Commercial,0.0353,5,18,2
20001944000,Commercial,0.029,12,16,2
20001945000,Commercial,0.0348,0,4,2
20001950000,Residential,0.0444,38,86,2
20001961000,Primary Production,3.2961,3,8,2
20001962000,Industrial,0.1202,0,0,2
20001963000,Parkland,0.3014,3,0,2
20001964000,Parkland,0.2807,0,0,2
20001970000,Residential,0.0569,57,125,2
20001980000,Parkland,1.8762,0,0,2
20001990000,Residential,0.0355,34,44,2
20002000000,Hospital/Medical,0.0421,10,35,2
20002010000,Residential,0.0288,16,40,2
20002020000,Parkland,0.0766,11,6,2
20002030000,Residential,0.0704,50,102,2
20002040000,Residential,0.0841,38,63,2
20002050000,Residential,0.0433,48,101,2
20002060000,Residential,0.0241,27,49,2
20002070000,Residential,0.1315,86,171,2
20002080000,Residential,0.0838,52,146,2
20002090000,Education,0.0836,0,0,2
20002100000,Parkland,0.2104,0,0,2
20002110000,Residential,0.0318,32,74,2
20002121000,Parkland,8.8126,0,0,2
20002122000,Parkland,1.3122,0,0,2
20002130000,Residential,0.3045,40,112,2
20002140000,Residential,0.1936,46,66,2
20002150000,Education,0.1113,0,0,2
20002160000,Residential,0.0261,32,45,2
20002170000,Residential,0.161,18,34,2
20002180000,Residential,0.0391,33,73,2
20002190000,Residential,0.0394,28,77,2
20002200000,Residential,0.0752,53,91,2
20002210000,Residential,0.0574,44,91,2
20002220000,Residential,0.0484,38,59,2
20002230000,Residential,0.0155,16,16,2
20002240000,Residential,0.0713,58,107,2
20002250000,Residential,0.1234,35,82,2
20002260000,Residential,0.0608,39,88,2
20002270000,Parkland,0.0675,0,0,2
20002280000,Residential,0.0551,35,80,2
20002290000,Education,0.0382,0,0,2
20002310000,Residential,0.0614,53,128,2
20002320000,Hospital/Medical,1.0644,18,30,2
20002330000,Water,0.6501,0,0,2
20002340000,Parkland,1.0982,0,0,2
20002360000,Water,0.3388,0,0,2
20002370000,Residential,0.0606,41,74,2
20002380000,Water,0.5851,0,0,2
20002390000,Parkland,1.1698,0,0,2
20002400000,Water,0.9111,0,0,2
20002410000,Water,1.479,0,0,2
20002420000,Water,0.6441,0,0,2
20002430000,Water,0.9054,0,0,2
20002440000,Water,13.5782,0,0,2
20002450000,Water,1.0463,0,0,2
20002460000,Residential,0.5195,27,58,2
20002490000,Water,6.2281,0,0,2
20002500000,Water,6.6117,0,0,2
20002510000,Parkland,8.1493,0,0,2
20002530000,Parkland,0.1976,0,0,2
20002540000,Residential,1.9208,60,95,2
20002550000,Residential,1.1973,53,111,2
20002560000,Residential,1.7874,30,54,2
20002570000,Parkland,1.8911,0,0,2
20002580000,Residential,0.0418,35,70,2
20002590000,Residential,0.0332,31,61,2
20002600000,Residential,0.1637,25,87,2
20002610000,Residential,0.0428,42,67,2
20002620000,Parkland,4.2178,17,5,2
20002630000,Residential,0.0696,41,78,2
20002640000,Residential,0.0281,35,81,2
20002652000,Commercial,0.0314,5,24,2
20002653000,Commercial,0.0303,0,0,2
20002660000,Residential,0.1145,25,47,2
20002670000,Education,0.0232,0,0,2
20002690000,Residential,2.5782,25,45,2
20002700000,Residential,0.073,41,63,2
20002710000,Residential,0.8179,13,15,2
20002720000,Residential,8.005,54,120,2
20002730000,Water,0.522,0,0,2
20002740000,Water,3.2957,0,0,2
20002751000,Residential,0.0457,36,60,2
20002752000,Residential,0.0213,17,29,2
20002760000,Residential,0.0572,54,81,2
20002781000,Commercial,0.0481,14,16,2
20002782000,Commercial,0.0238,11,9,2
20002783000,Residential,0.0303,26,45,2
20002790000,Residential,0.0475,29,74,2
20002800000,Residential,0.0304,21,33,2
20002810000,Residential,0.0395,42,80,2
20002820000,Residential,0.0614,29,57,2
20002830000,Residential,0.0857,35,69,2
20002840000,Residential,0.0549,27,41,2
20002850000,Residential,0.1345,33,77,2
20002860000,Residential,0.051,41,73,2
20002870000,Residential,0.0999,64,142,2
20002880000,Parkland,0.9979,0,0,2
20002890000,Water,0.5224,0,0,2
20002900000,Education,0.0228,0,0,2
20002910000,Education,0.0081,0,0,2
20002920000,Residential,0.0474,42,57,2
20002930000,Residential,0.2346,43,89,2
20002940000,Residential,0.0581,50,94,2
20002950000,Residential,0.035,34,51,2
20002960000,Residential,0.0642,35,69,2
20002971000,Residential,0.0296,22,52,2
20002980000,Education,0.0068,0,0,2
20002990000,Residential,0.0611,39,39,2
20003000000,Residential,0.0685,58,118,2
20003010000,Parkland,0.0248,0,0,2
20003020000,Residential,0.0279,31,41,2
20003031000,Commercial,0.0176,4,5,2
20003032000,Commercial,0.021,3,3,2
20003033000,Commercial,0.0167,0,0,2
20003034000,Commercial,0.0173,3,5,2
20003035000,Commercial,0.0209,0,3,2
20003040000,Residential,0.0308,26,43,2
20003050000,Residential,0.0377,37,62,2
20003060000,Education,0.0298,0,0,2
20003070000,Residential,0.0297,26,36,2
20003080000,Residential,0.0881,44,71,2
20003090000,Residential,0.0393,48,96,2
20003100000,Residential,0.0386,40,65,2
20003110000,Residential,0.0909,35,76,2
20003120000,Water,1.0039,0,0,2
20003130000,Residential,0.0655,47,79,2
20003140000,Education,0.0101,0,0,2
20003150000,Residential,2.936,33,59,2
20003160000,Residential,0.0304,24,55,2
20003180000,Residential,0.0251,33,52,2
20003201000,Residential,0.0326,20,40,2
20003202000,Residential,0.0313,23,52,2
20003210000,Residential,0.0387,33,63,2
20003220000,Residential,0.8718,47,94,2
20003230000,Education,0.0157,0,0,2
20003240000,Residential,0.0964,54,106,2
20003250000,Residential,2.7885,55,129,2
20003260000,Residential,0.0364,19,34,2
20003270000,Residential,0.0767,35,60,2
20003280000,Parkland,0.0605,0,0,2
20003290000,Residential,0.0546,43,92,2
20003300000,Residential,0.0418,31,56,2
20003310000,Residential,0.0462,26,64,2
20003320000,Parkland,0.1263,0,0,2
20003330000,Residential,0.0363,28,55,2
20003341000,Commercial,0.0328,3,17,2
20003342000,Commercial,0.0226,0,6,2
20003343000,Commercial,0.0324,10,20,2
20003350000,Residential,0.0494,58,103,2
20003360000,Residential,0.2762,51,125,2
20003370000,Parkland,0.5348,0,0,2
20003380000,Residential,0.129,43,78,2
20003391000,Primary Production,63.602,23,33,2
20003392000,Primary Production,112.7011,10,33,2
20003400000,Residential,0.0907,48,106,2
20003410000,Residential,0.9058,72,154,2
20003420000,Residential,0.0666,47,81,2
20003430000,Residential,0.1926,62,133,2
20003440000,Primary Production,4.093,61,100,2
20003451000,Residential,0.1002,53,127,2
20003452000,Residential,0.0301,18,38,2
20003460000,Residential,0.0641,38,78,2
20003470000,Residential,0.7158,29,41,2
20003480000,Primary Production,131.1793,48,113,2
20003490000,Residential,0.0314,32,52,2
20003500000,Residential,0.3774,19,25,2
20003512000,Commercial,0.0864,9,13,2
20003513000,Commercial,0.0502,10,21,2
20003520000,Residential,0.5082,45,70,2
20003531000,Primary Production,1.7062,37,79,2
20003541000,Primary Production,34.0799,46,110,2
20003542000,Primary Production,7.1011,3,4,2
20003550000,Parkland,15.9253,0,0,2
20003560000,Primary Production,97.1908,72,135,2
20003571000,Primary Production,53.2722,22,56,2
20003572000,Primary Production,18.2767,9,24,2
20003573000,Primary Production,24.6573,9,24,2
20003581000,Primary Production,26.1869,20,40,2
20003582000,Primary Production,19.1847,42,90,2
20003590000,Parkland,15.8958,0,0,2
20003600000,Residential,0.8068,34,44,2
20003611000,Primary Production,169.0672,46,79,2
20003613000,Primary Production,77.9798,14,31,2
20003614000,Primary Production,23.8747,0,3,2
20003621000,Primary Production,72.8572,9,20,2
20003622000,Primary Production,82.197,18,47,2
20003623000,Primary Production,37.5848,7,12,2
20003624000,Primary Production,145.752,15,33,2
20003625000,Primary Production,13.4853,8,7,2
20003630000,Primary Production,242.957,59,122,2
20003640000,Primary Production,85.7015,28,62,2
20003650000,Residential,0.306,39,105,2
20003661000,Primary Production,181.7868,38,80,2
20003662000,Parkland,0.0797,0,0,2
20003670000,Parkland,0.0763,0,0,2
