MB_CODE_2021,LGA_CODE_2022,LGA_NAME_2022,STATE_CODE_2021,STATE_NAME_2021,AUS_CODE_2021,AUS_NAME_2021,AREA_ALBERS_SQKM,ASGS_LOCI_URI_2021
20631918880,21180,Brimbank,2,Victoria,AUS,Australia,0.3006,https://linked.data.gov.au/dataset/asgsed3/MB/20631918880
20080120000,21180,Brimbank,2,Victoria,AUS,Australia,0.0376,https://linked.data.gov.au/dataset/asgsed3/MB/20080120000
20700770000,21180,Brimbank,2,Victoria,AUS,Australia,0.0883,https://linked.data.gov.au/dataset/asgsed3/MB/20700770000
20091200000,21180,Brimbank,2,Victoria,AUS,Australia,0.0289,https://linked.data.gov.au/dataset/asgsed3/MB/20091200000
20076510000,21180,Brimbank,2,Victoria,AUS,Australia,0.0266,https://linked.data.gov.au/dataset/asgsed3/MB/20076510000
20091190000,21180,Brimbank,2,Victoria,AUS,Australia,0.0456,https://linked.data.gov.au/dataset/asgsed3/MB/20091190000
20631932900,21180,Brimbank,2,Victoria,AUS,Australia,0.0416,https://linked.data.gov.au/dataset/asgsed3/MB/20631932900
20091180000,21180,Brimbank,2,Victoria,AUS,Australia,0.0286,https://linked.data.gov.au/dataset/asgsed3/MB/20091180000
20700760000,21180,Brimbank,2,Victoria,AUS,Australia,0.03,https://linked.data.gov.au/dataset/asgsed3/MB/20700760000
20091170000,21180,Brimbank,2,Victoria,AUS,Australia,0.0393,https://linked.data.gov.au/dataset/asgsed3/MB/20091170000
20700750000,21180,Brimbank,2,Victoria,AUS,Australia,0.0467,https://linked.data.gov.au/dataset/asgsed3/MB/20700750000
20091160000,21180,Brimbank,2,Victoria,AUS,Australia,0.0404,https://linked.data.gov.au/dataset/asgsed3/MB/20091160000
20700740000,21180,Brimbank,2,Victoria,AUS,Australia,0.0417,https://linked.data.gov.au/dataset/asgsed3/MB/20700740000
20091152000,21180,Brimbank,2,Victoria,AUS,Australia,0.034,https://linked.data.gov.au/dataset/asgsed3/MB/20091152000
20700730000,21180,Brimbank,2,Victoria,AUS,Australia,0.0984,https://linked.data.gov.au/dataset/asgsed3/MB/20700730000
20091151000,21180,Brimbank,2,Victoria,AUS,Australia,0.0177,https://linked.data.gov.au/dataset/asgsed3/MB/20091151000
20700720000,21180,Brimbank,2,Victoria,AUS,Australia,0.1035,https://linked.data.gov.au/dataset/asgsed3/MB/20700720000
20091140000,21180,Brimbank,2,Victoria,AUS,Australia,0.0267,https://linked.data.gov.au/dataset/asgsed3/MB/20091140000
20632001460,21180,Brimbank,2,Victoria,AUS,Australia,0.0402,https://linked.data.gov.au/dataset/asgsed3/MB/20632001460
20091130000,21180,Brimbank,2,Victoria,AUS,Australia,0.0468,https://linked.data.gov.au/dataset/asgsed3/MB/20091130000
20632000300,21180,Brimbank,2,Victoria,AUS,Australia,0.0313,https://linked.data.gov.au/dataset/asgsed3/MB/20632000300
20091120000,21180,Brimbank,2,Victoria,AUS,Australia,0.0346,https://linked.data.gov.au/dataset/asgsed3/MB/20091120000
20700710000,21180,Brimbank,2,Victoria,AUS,Australia,0.039,https://linked.data.gov.au/dataset/asgsed3/MB/20700710000
20091110000,21180,Brimbank,2,Victoria,AUS,Australia,0.0334,https://linked.data.gov.au/dataset/asgsed3/MB/20091110000
20700700000,21180,Brimbank,2,Victoria,AUS,Australia,0.0811,https://linked.data.gov.au/dataset/asgsed3/MB/20700700000
20088742000,21180,Brimbank,2,Victoria,AUS,Australia,0.0877,https://linked.data.gov.au/dataset/asgsed3/MB/20088742000
20700690000,21180,Brimbank,2,Victoria,AUS,Australia,0.2943,https://linked.data.gov.au/dataset/asgsed3/MB/20700690000
20088741000,21180,Brimbank,2,Victoria,AUS,Australia,0.2018,https://linked.data.gov.au/dataset/asgsed3/MB/20088741000
20631976010,21180,Brimbank,2,Victoria,AUS,Australia,0.0209,https://linked.data.gov.au/dataset/asgsed3/MB/20631976010
20088730000,21180,Brimbank,2,Victoria,AUS,Australia,0.0278,https://linked.data.gov.au/dataset/asgsed3/MB/20088730000
20092252000,21180,Brimbank,2,Victoria,AUS,Australia,0.0397,https://linked.data.gov.au/dataset/asgsed3/MB/20092252000
20088720000,21180,Brimbank,2,Victoria,AUS,Australia,0.031,https://linked.data.gov.au/dataset/asgsed3/MB/20088720000
20631921770,21180,Brimbank,2,Victoria,AUS,Australia,0.0099,https://linked.data.gov.au/dataset/asgsed3/MB/20631921770
20088710000,21180,Brimbank,2,Victoria,AUS,Australia,0.0399,https://linked.data.gov.au/dataset/asgsed3/MB/20088710000
20631985890,21180,Brimbank,2,Victoria,AUS,Australia,0.0417,https://linked.data.gov.au/dataset/asgsed3/MB/20631985890
20088700000,21180,Brimbank,2,Victoria,AUS,Australia,0.0342,https://linked.data.gov.au/dataset/asgsed3/MB/20088700000
20631913720,21180,Brimbank,2,Victoria,AUS,Australia,0.0254,https://linked.data.gov.au/dataset/asgsed3/MB/20631913720
20088690000,21180,Brimbank,2,Victoria,AUS,Australia,0.0222,https://linked.data.gov.au/dataset/asgsed3/MB/20088690000
20631898820,21180,Brimbank,2,Victoria,AUS,Australia,0.0298,https://linked.data.gov.au/dataset/asgsed3/MB/20631898820
20088680000,21180,Brimbank,2,Victoria,AUS,Australia,0.0141,https://linked.data.gov.au/dataset/asgsed3/MB/20088680000
20631977380,21180,Brimbank,2,Victoria,AUS,Australia,0.0616,https://linked.data.gov.au/dataset/asgsed3/MB/20631977380
